Winner,White_Weighted_Value,Black_Weighted_Value,White_Centre_Weighted_Value,Black_Centre_Weighted_Value,White_King_Safety,Black_King_Safety,White_Piece_Count,Black_Piece_Count,White_Center_Piece_Count,Black_Center_Piece_Count,White_Opponent_Moves,Black_Opponent_Moves,White_Rook_Positions,White_Queen_Positions,White_Knight_Positions,White_King_Positions,White_Bishop_Positions,Black_Rook_Positions,Black_Queen_Positions,Black_Knight_Positions,Black_King_Positions,Black_Bishop_Positions
White,8,8,1,5,Y,N,6,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,23,24,5,4,N,Y,13,14,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,12,13,4,1,N,Y,7,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0
White,22,20,7,5,Y,N,13,11,5,4,3,0,3,3,0,14,3,31,14,0,3,17
White,23,23,7,6,Y,N,13,13,3,4,1,0,2,3,7,2,0,16,8,5,9,15
Black,14,15,3,5,N,Y,9,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0
White,16,16,3,2,N,N,10,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0
White,18,18,6,1,Y,N,10,10,4,1,0,0,8,8,0,8,0,8,8,0,8,0
White,22,22,6,4,Y,N,13,13,4,3,0,0,0,4,0,0,0,18,4,5,9,4
White,26,26,5,6,Y,N,15,15,3,4,0,0,0,3,10,3,3,19,11,15,8,22
Black,11,11,5,4,N,Y,9,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0
White,19,13,4,7,Y,N,11,7,3,3,0,0,8,0,0,0,8,0,8,0,8,0
Black,10,15,2,5,N,Y,6,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,9,8,4,3,N,Y,8,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0
White,16,18,2,1,Y,N,9,10,2,1,0,0,0,3,0,0,0,13,5,5,8,0
White,21,19,6,6,Y,N,12,10,4,3,2,0,0,2,2,12,12,12,2,0,10,10
Black,7,7,4,5,N,Y,6,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0
White,18,17,10,2,Y,N,11,10,5,2,0,0,0,8,0,0,0,16,8,0,8,0
Black,9,10,1,4,N,Y,6,6,1,3,0,0,0,17,0,0,0,0,0,0,0,17
White,10,11,0,4,Y,N,5,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0
White,10,9,4,1,Y,N,7,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,25,25,7,4,N,Y,14,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,16,19,3,2,N,N,9,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,7,8,3,3,N,Y,5,6,3,3,0,0,0,0,0,13,0,0,0,0,0,0
White,21,19,0,3,Y,N,12,10,0,2,2,0,2,0,0,0,9,16,1,7,6,5
White,11,11,4,2,Y,N,8,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0
White,10,12,5,3,Y,N,7,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,8,9,4,5,N,Y,7,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0
White,21,21,9,3,Y,N,12,12,4,2,0,0,0,5,0,0,0,12,1,0,6,12
Black,21,22,1,8,N,Y,12,13,1,4,0,0,0,0,0,0,0,0,0,0,0,0
White,22,24,2,7,Y,N,13,14,2,4,0,0,4,0,0,4,2,2,2,8,6,6
Black,11,13,1,2,N,Y,6,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0
